P1	P2
142	850399
142	850500
142	851572
142	853494
142	855159
142	855976
375	853488
387	856613
546	851994
546	852395
581	850358
581	856584
672	850705
672	850923
672	851048
672	851212
672	851394
672	851470
672	851648
672	851975
672	852199
672	852411
672	852453
672	852820
672	852867
672	852944
672	852955
672	853301
672	853433
672	853471
672	853615
672	853718
672	853808
672	853811
672	853957
672	853970
672	854241
672	854657
672	854678
672	854868
672	854999
672	855002
672	855055
672	855184
672	855471
672	855538
672	855616
672	855827
672	855942
672	856065
672	856309
672	856377
672	856831
843	850559
843	850677
843	850939
843	851076
843	851083
843	851339
843	851396
843	851421
843	851464
843	851564
843	851647
843	851781
843	852053
843	852200
843	852224
843	852265
843	852695
843	852931
843	853275
843	853688
843	853766
843	853769
843	854297
843	854373
843	854676
843	854781
843	854818
843	854934
843	855044
843	855053
843	855073
843	855498
843	855524
843	855596
843	855828
843	855898
843	855926
843	855983
843	856026
843	856315
843	856382
843	856394
843	856425
843	856763
843	856813
843	856823
875	852364
983	851415
983	855201
997	850620
1017	855950
1111	851561
1376	852495
1376	853482
1452	852973
1452	854702
1457	851568
1457	851624
1457	852973
1457	853922
1457	854222
1457	854660
1457	855689
1457	855836
1459	851568
1459	853861
1459	853922
1460	853922
1759	852276
1786	852295
1786	855700
1869	851906
1869	856891
1967	851797
1967	852974
2099	851756
2521	850633
2521	853708
2521	854755
2521	855554
2521	856351
2521	856486
2521	856923
2648	852059
2740	852309
2740	853455
2778	854387
2778	856394
2873	854387
2873	856394
2874	854387
2874	856394
2969	854327
3020	855616
3064	850329
3064	850361
3064	850568
3064	850633
3064	850819
3064	851325
3064	851677
3064	851752
3064	851865
3064	851910
3064	852113
3064	852116
3064	852131
3064	852141
3064	852212
3064	852228
3064	852395
3064	852423
3064	852502
3064	852557
3064	852648
3064	852712
3064	852898
3064	852946
3064	853111
3064	853149
3064	853267
3064	853571
3064	853590
3064	853887
3064	853938
3064	854014
3064	854108
3064	854197
3064	854360
3064	854467
3064	854515
3064	854681
3064	854682
3064	854689
3064	854848
3064	855195
3064	855196
3064	855213
3064	855647
3064	856038
3064	856361
3064	856367
3064	856397
3064	856433
3064	856669
3064	856759
3064	856787
3308	854131
3315	854708
3552	850744
3552	851756
3552	852059
3552	852373
3552	853167
3552	854188
3552	855821
3622	852295
3622	855305
3622	855700
3735	855651
3837	853796
3837	855066
3842	852755
3921	851752
4171	851810
4171	852284
4171	852295
4171	852665
4171	854933
4171	855700
4234	851326
4287	855491
4287	856061
4292	854114
4292	854198
4292	855228
4734	851415
4734	853848
4850	851631
4863	851810
4998	855049
5058	850930
5423	853747
5504	856870
5515	852088
5524	851811
5524	855951
5530	853891
5564	852088
5564	852763
5566	851862
5566	855592
5569	851000
5569	853133
5571	852032
5571	852088
5571	852664
5711	851557
5711	853712
5711	854735
5711	856223
5886	850620
5887	853712
5887	856607
5887	856731
5901	854138
6048	851631
6242	856294
6252	854336
6279	851424
6279	851624
6279	852740
6279	855532
6280	851424
6280	851624
6280	852740
6280	855532
6314	851810
6314	852295
6314	853167
6314	855700
6337	853789
6396	852788
6426	855256
6449	856821
6613	856087
6622	850315
6622	850385
6622	850391
6622	850417
6622	850418
6622	850432
6622	850595
6622	850633
6622	850938
