Source,Target,Weight
0,0,292
0,21,157
0,30,134
0,32,21
0,25,41
0,12,32
0,9,98
0,28,31
0,15,14
0,14,11
0,13,5
0,23,1
0,17,8
1,1,92
1,9,57
1,30,13
1,32,12
1,28,17
1,12,10
1,14,1
1,21,30
1,15,1
1,17,4
1,26,6
1,23,2
2,2,608
2,21,196
2,12,151
2,14,42
2,28,505
2,9,209
2,30,153
2,32,159
2,24,4
2,13,25
2,23,6
2,3,1
2,25,3
2,17,7
2,15,11
2,5,4
2,19,2
2,22,1
2,6,2
2,10,1
3,3,6
3,2,1
3,28,6
3,9,2
3,32,3
3,13,1
3,21,2
4,4,6
4,30,1
4,9,4
4,32,1
4,28,1
4,21,3
4,12,1
5,5,132
5,21,102
5,30,37
5,28,73
5,12,28
5,9,79
5,17,1
5,32,29
5,15,8
5,13,2
5,14,8
5,22,1
5,26,3
5,2,4
5,20,1
6,6,34
6,28,57
6,32,26
6,21,23
6,9,64
6,12,32
6,30,21
6,15,2
6,14,5
6,2,2
6,23,1
6,17,1
7,7,4
7,21,1
7,9,3
7,32,2
8,8,4
8,14,2
8,9,4
8,30,4
8,21,4
8,17,1
8,28,3
8,13,1
9,9,67866
9,21,13315
9,23,1172
9,32,4914
9,30,6873
9,28,16083
9,14,3086
9,2,209
9,15,1694
9,17,1347
9,12,8037
9,1,57
9,5,79
9,13,678
9,22,84
9,26,228
9,6,64
9,33,14
9,19,37
9,24,197
9,25,102
9,0,98
9,8,4
9,27,2
9,29,9
9,20,29
9,10,9
9,31,5
9,4,4
9,3,2
9,18,1
9,11,7
9,7,3
10,10,10
10,21,4
10,2,1
10,30,7
10,12,2
10,9,9
10,32,7
10,28,13
10,14,1
10,13,2
10,15,1
10,17,1
11,11,20
11,21,14
11,28,4
11,12,3
11,30,5
11,9,7
11,15,2
11,13,2
12,12,10280
12,30,2654
12,14,1038
12,28,6478
12,9,8037
12,21,4446
12,13,353
12,23,307
12,32,2290
12,15,411
12,24,70
12,22,27
12,0,32
12,6,32
12,26,43
12,2,151
12,17,341
12,29,6
12,1,10
12,25,45
12,5,28
12,31,1
12,19,17
12,33,14
12,20,6
12,11,3
12,10,2
12,18,2
12,4,1
13,13,378
13,30,326
13,21,635
13,12,353
13,14,87
13,28,824
13,15,58
13,9,678
13,32,309
13,17,64
13,23,40
13,0,5
13,2,25
13,29,2
13,20,7
13,24,12
13,11,2
13,26,14
13,19,5
13,25,7
13,33,2
13,5,2
13,10,2
13,8,1
13,3,1
14,14,2958
14,21,1233
14,9,3086
14,12,1038
14,28,2346
14,30,768
14,17,136
14,13,87
14,32,482
14,15,155
14,26,9
14,23,74
14,5,8
14,25,26
14,24,21
14,22,13
14,2,42
14,0,11
14,19,5
14,6,5
14,10,1
14,31,1
14,20,1
14,29,1
14,33,1
14,8,2
14,1,1
15,15,3020
15,12,411
15,21,1564
15,30,525
15,17,138
15,28,844
15,9,1694
15,32,400
15,14,155
15,13,58
15,25,9
15,23,47
15,24,10
15,22,8
15,29,2
15,2,11
15,26,9
15,19,3
15,0,14
15,6,2
15,16,1
15,11,2
15,27,1
15,5,8
15,20,2
15,1,1
15,10,1
16,16,6
16,21,1
16,15,1
16,32,1
16,28,2
16,17,1
17,17,1124
17,9,1347
17,21,1146
17,12,341
17,32,281
17,13,64
17,28,611
17,2,7
17,30,323
17,15,138
17,14,136
17,23,41
17,24,7
17,0,8
17,25,3
17,1,4
17,22,4
17,10,1
17,5,1
17,16,1
17,33,2
17,20,4
17,6,1
17,8,1
17,26,7
18,18,30
18,30,2
18,12,2
18,28,3
18,21,1
18,9,1
19,19,32
19,30,33
19,9,37
19,21,24
19,12,17
19,32,17
