Accession	Begin	End	Chromosome	Orientation	Name	Symbol	Gene ID	Gene Type	Transcripts accession	Protein accession	Protein length	Locus tag
NC_001133.9	1807	2169	I	minus	seripauperin PAU8	PAU8	851229	protein-coding	NM_001180043.1	NP_009332.1	120	YAL068C
NC_001133.9	2480	2707	I	plus	uncharacterized protein		1466426	protein-coding	NM_001184582.1	NP_878038.1	75	YAL067W-A
NC_001133.9	7235	9016	I	minus	putative permease SEO1	SEO1	851230	protein-coding	NM_001178208.1	NP_009333.1	593	YAL067C
NC_001133.9	11565	11951	I	minus	uncharacterized protein		851232	protein-coding	NM_001179897.1	NP_009335.1	128	YAL065C
NC_001133.9	12046	12426	I	plus	uncharacterized protein		851233	protein-coding	NM_001180042.1	NP_009336.1	126	YAL064W-B
NC_001133.9	13363	13743	I	minus	Tda8p	TDA8	851234	protein-coding	NM_001180041.1	NP_058136.1	126	YAL064C-A
NC_001133.9	21566	21850	I	plus	uncharacterized protein		851235	protein-coding	NM_001178206.2	NP_009337.2	94	YAL064W
NC_001133.9	22395	22685	I	minus	uncharacterized protein		1466427	protein-coding	NM_001184642.1	NP_878039.1	96	YAL063C-A
NC_001133.9	24000	27968	I	minus	flocculin FLO9	FLO9	851236	protein-coding	NM_001178205.1	NP_009338.1	1322	YAL063C
NC_001133.9	31567	32940	I	plus	glutamate dehydrogenase (NADP(+)) GDH3	GDH3	851237	protein-coding	NM_001178204.1	NP_009339.1	457	YAL062W
NC_001133.9	33448	34701	I	plus	putative dehydrogenase BDH2	BDH2	851238	protein-coding	NM_001178203.1	NP_009340.1	417	YAL061W
NC_001133.9	35155	36303	I	plus	(R,R)-butanediol dehydrogenase	BDH1	851239	protein-coding	NM_001178202.2	NP_009341.2	382	YAL060W
NC_001133.9	36509	37147	I	plus	Ecm1p	ECM1	851240	protein-coding	NM_001178201.2	NP_009342.2	212	YAL059W
NC_001133.9	37464	38972	I	plus	calnexin	CNE1	851241	protein-coding	NM_001178200.1	NP_009343.1	502	YAL058W
NC_001133.9	39259	41901	I	plus	Gpb2p	GPB2	851243	protein-coding	NM_001178199.2	NP_009345.3	880	YAL056W
NC_001133.9	42177	42719	I	plus	ubiquitin-protein transferase activating protein PEX22	PEX22	851244	protein-coding	NM_001178198.1	NP_009346.1	180	YAL055W
NC_001133.9	42881	45022	I	minus	acetate--CoA ligase 1	ACS1	851245	protein-coding	NM_001178197.1	NP_009347.1	713	YAL054C
NC_001133.9	45899	48250	I	plus	flavin adenine dinucleotide transporter FLC2	FLC2	851246	protein-coding	NM_001178196.2	NP_009348.2	783	YAL053W
NC_001133.9	48564	51707	I	plus	oleate-activated transcription factor OAF1	OAF1	851247	protein-coding	NM_001178195.2	NP_009349.3	1047	YAL051W
NC_001133.9	51855	52595	I	minus	protein AIM2	AIM2	851248	protein-coding	NM_001178194.1	NP_009350.1	246	YAL049C
NC_001133.9	52801	54789	I	minus	ERMES complex Ca(2+)-binding regulatory GTPase GEM1	GEM1	851249	protein-coding	NM_001178193.1	NP_009351.1	662	YAL048C
NC_001133.9	54989	56857	I	minus	gamma-tubulin complex subunit SPC72	SPC72	851250	protein-coding	NM_001178192.2	NP_009352.2	622	YAL047C
NC_001133.9	57029	57385	I	minus	Bol3p	BOL3	851251	protein-coding	NM_001178191.1	NP_009353.1	118	YAL046C
NC_001133.9	57518	57850	I	plus	Bol1p	BOL1	851252	protein-coding	NM_001184453.1	NP_075206.1	110	YAL044W-A
NC_001133.9	57950	58462	I	minus	glycine decarboxylase subunit H	GCV3	851254	protein-coding	NM_001178189.1	NP_009355.3	170	YAL044C
NC_001133.9	58695	61052	I	minus	RNA-processing protein PTA1	PTA1	851255	protein-coding	NM_001178188.1	NP_009356.1	785	YAL043C
NC_001133.9	61316	62563	I	plus	Erv46p	ERV46	851256	protein-coding	NM_001178187.1	NP_009358.1	415	YAL042W
NC_001133.9	62840	65404	I	plus	Rho family guanine nucleotide exchange factor CDC24	CDC24	851190	protein-coding	NM_001178186.1	NP_009359.1	854	YAL041W
NC_001133.9	65778	67520	I	minus	cyclin CLN3	CLN3	851191	protein-coding	NM_001178185.1	NP_009360.1	580	YAL040C
NC_001133.9	68716	69525	I	minus	holocytochrome c synthase CYC3	CYC3	851192	protein-coding	NM_001178184.1	NP_009361.1	269	YAL039C
NC_001133.9	71786	73288	I	plus	pyruvate kinase CDC19	CDC19	851193	protein-coding	NM_001178183.1	NP_009362.1	500	YAL038W
NC_001133.9	73426	73518	I	minus	uncharacterized protein		1466428	protein-coding	NM_001184629.1	NP_878040.1	30	YAL037C-A
NC_001133.9	74020	74823	I	plus	uncharacterized protein		851194	protein-coding	NM_001178182.1	NP_009363.1	267	YAL037W
NC_001133.9	75043	76152	I	minus	GTP-binding protein RBG1	RBG1	851195	protein-coding	NM_001178181.1	NP_009364.1	369	YAL036C
NC_001133.9	76427	79435	I	plus	translation initiation factor eIF5B	FUN12	851196	protein-coding	NM_001178180.1	NP_009365.1	1002	YAL035W
NC_001133.9	79718	80587	I	plus	MIND complex subunit MTW1	MTW1	851197	protein-coding	NM_001178179.1	NP_009367.1	289	YAL034W-A
NC_001133.9	80710	81951	I	minus	Fun19p	FUN19	851199	protein-coding	NM_001180035.1	NP_009368.2	413	YAL034C
NC_001133.9	82706	83227	I	plus	RNA-binding protein POP5	POP5	851200	protein-coding	NM_001178178.1	NP_009369.1	173	YAL033W
NC_001133.9	83335	84474	I	minus	mRNA splicing protein PRP45	PRP45	851201	protein-coding	NM_001178177.1	NP_009370.1	379	YAL032C
NC_001133.9	84749	87031	I	minus	protein phosphatase regulator GIP4	GIP4	851202	protein-coding	NM_001178176.1	NP_009371.1	760	YAL031C
NC_001133.9	87286	87752	I	plus	SNAP receptor SNC1	SNC1	851203	protein-coding	NM_001178175.1	NP_009372.1	117	YAL030W
NC_001133.9	87855	92270	I	minus	myosin 4	MYO4	851204	protein-coding	NM_001178174.1	NP_009373.1	1471	YAL029C
NC_001133.9	92900	94486	I	plus	Frt2p	FRT2	851205	protein-coding	NM_001178173.1	NP_009374.1	528	YAL028W
NC_001133.9	94687	95472	I	plus	DNA-binding protein SAW1	SAW1	851206	protein-coding	NM_001178172.1	NP_009375.1	261	YAL027W
NC_001133.9	95630	99697	I	minus	aminophospholipid-translocating P4-type ATPase DRS2	DRS2	851207	protein-coding	NM_001178171.2	NP_009376.2	1355	YAL026C
NC_001133.9	99305	99868	I	plus	HRA1	HRA1	9164866	ncRNA	NR_132149.1			YNCA0001W
NC_001133.9	100225	101145	I	minus	ribosome biosynthesis protein MAK16	MAK16	851208	protein-coding	NM_001178170.2	NP_009377.2	306	YAL025C
NC_001133.9	101565	105872	I	minus	mitotic regulator LTE1	LTE1	851209	protein-coding	NM_001178169.1	NP_009378.1	1435	YAL024C
NC_001133.9	106272	108551	I	minus	dolichyl-phosphate-mannose-protein mannosyltransferase PMT2	PMT2	851210	protein-coding	NM_001178168.1	NP_009379.2	759	YAL023C
NC_001133.9	108877	110430	I	minus	nucleoside transmembrane transporter FUN26	FUN26	851211	protein-coding	NM_001178167.1	NP_009380.1	517	YAL022C
NC_001133.9	110846	113359	I	minus	CCR4-NOT core exoribonuclease subunit CCR4	CCR4	851212	protein-coding	NM_001178166.1	NP_009381.1	837	YAL021C
NC_001133.9	113614	114615	I	minus	Ats1p	ATS1	851213	protein-coding	NM_001178165.2	NP_009382.2	333	YAL020C
NC_001133.9	114919	118314	I	plus	DNA-dependent ATPase FUN30	FUN30	851214	protein-coding	NM_001178164.1	NP_009383.1	1131	YAL019W
NC_001133.9	118564	119541	I	minus	Lds1p	LDS1	851215	protein-coding	NM_001178163.1	NP_009384.1	325	YAL018C
NC_001133.9	120225	124295	I	plus	serine/threonine protein kinase PSK1	PSK1	851216	protein-coding	NM_001178162.2	NP_009385.2	1356	YAL017W
NC_001133.9	124879	126786	I	plus	protein phosphatase 2A structural subunit TPD3	TPD3	851217	protein-coding	NM_001178161.1	NP_009386.1	635	YAL016W
NC_001133.9	126903	128102	I	minus	bifunctional N-glycosylase/AP lyase NTG1	NTG1	851218	protein-coding	NM_001178160.1	NP_009387.1	399	YAL015C
