ID_BIOGRID;ID_KEGG;INDICE;PATHWAY;LOCALISATION
851968;YDR364C;0;Spliceosome;['NUCLEUS']
851969;YDR365C;1;None;['CYTOPLASM', 'NUCLEUS']
851970;YDR365W-A;2;None;None
851971;YDR365W-B;3;None;None
851972;YDR366C;4;None;None
851973;YDR367W;5;None;None
851974;YDR368W;6;None;['NUCLEUS', 'CYTOPLASM']
851975;YDR369C;7;Homologous recombination;['CYTOPLASM', 'NUCLEUS']
851976;YDR370C;8;None;['CYTOPLASM']
851977;YDR371W;9;Amino sugar and nucleotide sugar metabolism;None
851978;YDR372C;10;None;['CYTOPLASM']
851979;YDR373W;11;None;None
851980;YDR374C;12;None;None
851981;YDR375C;13;None;['MITOCHONDRIA']
851982;YDR376W;14;None;['MITOCHONDRIA']
851983;YDR377W;15;Oxidative phosphorylation;['MITOCHONDRIA']
851984;YDR378C;16;RNA degradation;None
851985;YDR379W;17;MAPK signaling pathway - yeast;['CYTOPLASM']
851986;YDR379C-A;18;None;['MITOCHONDRIA']
851987;YDR380W;19;Phenylalanine metabolism;['CYTOPLASM']
851988;YDR381W;20;Nucleocytoplasmic transport;['NUCLEUS']
851989;YDR381C-A;21;None;None
851990;YDR382W;22;Ribosome;['CYTOPLASM']
851991;YDR383C;23;None;None
851992;YDR384C;24;None;None
851993;YDR385W;25;None;['CYTOPLASM']
851994;YDR386W;26;Homologous recombination;None
851995;YDR387C;27;None;None
851996;YDR388W;28;Endocytosis;['PUNCTATE COMPOSITE', 'CYTOPLASM', 'ACTIN']
851997;YDR389W;29;MAPK signaling pathway - yeast;['CYTOPLASM', 'NUCLEOLUS']
851998;YDR390C;30;Ubiquitin mediated proteolysis;['NUCLEUS']
100499482;None;31;None;None
852000;YDR391C;32;None;None
852001;YDR392W;33;None;['NUCLEUS']
852002;YDR393W;34;None;None
852003;YDR394W;35;Proteasome;['MITOCHONDRIA']
